"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xbe9f36926b430cb752d1709c38a42648076ef32b5c039ce997235e17f9086a63","Success","ERC-20","0xca350aa6","25650363","16 days ago","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x58E1885ADC33d07b1aFc16F11463163a1A28CCeD"," ","1,863.97673","$6,095.20","Uniswap(UNI)","0.00040381"
"0xaa5e9566883c856a7f0ae03ddfb52d48d0ef76875ae6b3e118372b4486f632c2","Success","ERC-20","0x771d503f","25650362","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","507.852021","$1,660.68","Uniswap(UNI)","0.00052233"
"0xf30a0cc3229128e16ed17877b6b47ba2e4bb9bf00a074792c1dca27fb466d1f8","Success","ERC-20","0x0fe20a3f","25650362","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","563.920985","$1,844.02","Uniswap(UNI)","0.00076149"
"0x2fa3df8c8c3e7d8dfe3367c9b3e40eb027ae9b9c589530b1ea5d3097429cd94a","Success","ERC-20","0xa0000000","25650362","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","4,866.192564","$15,912.45","Uniswap(UNI)","0.00479006"
"0xafad4bded0f45f9ebfe241090066d51dffbac96f3131b7a5aa50d0a511cda4ae","Success","ERC-20","0x0fe20a3f","25650361","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","886.812173","$2,899.88","Uniswap(UNI)","0.00001006"
"0x7938fa7dedf69c1b31c6466d1e98ad4d444c9e1deaa8de6a401a2586069aa33e","Success","ERC-20","0x0fe20a3f","25650361","16 days ago","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","740.744478","$2,422.23","Uniswap(UNI)","0.00001155"
"0x1f20b92cb19718a41774dbf2c18ec7eff74d2d7e19940e9ae31476cf236a5d38","Success","ERC-20","0x771d503f","25650361","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","1,125.254367","$3,679.58","Uniswap(UNI)","0.00000981"
"0xdbc1013f9338f9348907850d6042aa7ae5f2d8fb4698a763f3b39a8f1edff16c","Success","ERC-20","0x771d503f","25650361","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","10,155.229619","$33,207.60","Uniswap(UNI)","0.00001102"
"0x05b63ae5b83631432880382ecfc57c80527257003a191056bac5e3ec3f4ae651","Success","ERC-20","0x771d503f","25650353","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","771.870047","$2,524.02","Uniswap(UNI)","0.00001122"
"0x7a64a45610c4fe3b04e58e1e0301fbd798935aa2925a49a4e64713f16d1b2f87","Success","ERC-20","0x771d503f","25650353","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","3,980.369058","$13,015.81","Uniswap(UNI)","0.00001025"
"0x42cf4f768b8519bb22a314332642a28e256acd01066614ad7d3ffe6da6656d71","Success","ERC-20","0x771d503f","25650351","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","3,753.312093","$12,273.33","Uniswap(UNI)","0.00001073"
"0xbdf6a090501c042eebdff87c5ff795d4d91c73b835adc5f12c61c3ccbb374053","Success","ERC-20","0x771d503f","25650349","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","1,502.464816","$4,913.06","Uniswap(UNI)","0.00100476"
"0xac4ff579167db4ad120053ca9eec3f19f5f5254f2173956ec4c84b2c6199e935","Success","ERC-20","0x771d503f","25650349","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","539.045965","$1,762.68","Uniswap(UNI)","0.00062225"
"0x7525a24d1f42b1d8c402ceaf178afa9bc4ce5b1039f70fb6d10a662bc72f1d82","Success","ERC-20","0x771d503f","25650347","16 days ago","0x3470447f3CecfFAc709D3e783A307790b0208d60","Uniswap V3: UNI-USDT","0x51C72848c68a965f66FA7a88855F9f7784502a7F"," Market Maker: 0x51c7...2a7f","600.297185","$1,962.97","Uniswap(UNI)","0.00068856"
"0xbc3cfdf7e019c57350e37bce2b3a9e54b4b212083aeb7832f70411724fdae2a6","Success","ERC-20","0xa0000000","25650347","16 days ago","0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801","Uniswap V3: UNI","0xBdb3ba9ffe392549E1f8658DD2630c141fDF47B6"," MEV Bot: 0xBdb...7B6","4,545.391501","$14,863.43","Uniswap(UNI)","0.00410688"
